game_month,batter_team,is_batter_lefty,is_pitcher_lefty,bb_type,bearing,pitch_name,park_name,inning,outs_when_up,balls,strikes,plate_x,plate_z,pitch_mph,launch_speed,launch_angle,is_home_run
8,SF,0,1,fly_ball,center,Sinker,Oracle Park,3,1,0,0,-0.06,2.28,94.4,105.9,27,1
8,OAK,0,0,ground_ball,left,Slider,RingCentral Coliseum,7,2,0,0,0.17,1.72,85.5,89,-21,0
9,MIA,0,0,line_drive,right,Curveball,Marlins Park,5,1,2,2,0.48,1.91,84.8,78.8,14,0
9,TEX,1,0,fly_ball,left,4-Seam Fastball,Angel Stadium of Anaheim,8,0,1,0,-0.52,2.24,94.5,98.6,30,1
8,OAK,1,0,fly_ball,center,Split-Finger,Oracle Park,6,0,1,0,-0.38,2.67,83,104.9,36,1
8,LAD,1,0,line_drive,center,Curveball,Dodger Stadium,2,2,1,1,0.52,1.64,80.1,106.8,30,1
8,MIL,0,0,ground_ball,center,Sinker,Wrigley Field,6,2,2,1,-0.19,1.75,93.8,96.6,-2,0
9,NYY,0,0,fly_ball,right,4-Seam Fastball,Progressive Field,6,0,0,0,0.14,2.39,92.8,101.5,44,1
8,MIA,1,1,fly_ball,center,Slider,Marlins Park,4,2,0,2,0.17,2.04,81.4,73.4,39,0
8,SF,0,0,line_drive,center,4-Seam Fastball,Chase Field,2,2,2,2,-0.53,2.48,93.2,97.1,11,0
8,NYY,0,0,line_drive,center,Cutter,New Yankee Stadium,6,1,0,0,0.39,2.46,94,99.9,27,1
9,NYY,1,0,fly_ball,center,Cutter,New Yankee Stadium,3,2,1,0,-0.09,2.16,91.9,79.2,32,0
9,TOR,1,1,line_drive,center,4-Seam Fastball,Rogers Centre,2,2,3,1,-0.03,2.09,91.4,71.8,21,0
9,ARI,1,0,line_drive,center,Split-Finger,Chase Field,4,0,0,2,-0.49,2.64,83.5,82.9,27,0
9,ATL,1,0,ground_ball,center,4-Seam Fastball,Nationals Park,6,1,0,0,0.64,1.86,89.6,109,2,0
8,DET,1,0,line_drive,center,4-Seam Fastball,Comerica Park,7,0,1,1,-0.44,3.13,92.3,97.9,10,0
9,BOS,0,0,line_drive,right,4-Seam Fastball,Marlins Park,7,0,0,1,0.26,2.6,94.5,99.9,28,1
9,TEX,1,0,ground_ball,right,Changeup,Angel Stadium of Anaheim,7,2,2,2,-0.28,1.49,84.2,93.2,7,0
9,BOS,0,0,fly_ball,center,4-Seam Fastball,Fenway Park,8,1,1,2,0.35,3.16,95.1,101.3,28,1
8,TEX,1,1,fly_ball,center,4-Seam Fastball,Oracle Park,7,1,0,2,-0.26,2.83,90.8,109.2,25,1
8,ARI,0,1,line_drive,center,4-Seam Fastball,Petco Park,9,2,1,2,0.33,3.32,90.8,103,23,1
8,ARI,1,0,line_drive,right,Slider,Chase Field,6,0,0,1,0.4,2.21,84.5,109,25,1
8,WSH,1,0,ground_ball,center,4-Seam Fastball,Nationals Park,2,0,0,1,-0.32,2.47,91.3,89.4,6,0
8,PHI,0,1,line_drive,left,Curveball,Citizens Bank Park,3,2,2,2,-0.05,2.09,76.9,99.5,13,0
8,TB,0,0,line_drive,center,Split-Finger,Tropicana Field,3,2,0,2,-0.32,2.31,87.2,104.8,24,1
9,LAA,0,0,ground_ball,right,4-Seam Fastball,Angel Stadium of Anaheim,7,1,2,1,1.09,1.69,94,78.2,1,0
9,PIT,0,0,ground_ball,center,4-Seam Fastball,PNC Park,7,0,0,2,0.56,2.81,94.2,99.8,-4,0
8,CWS,0,0,line_drive,center,Slider,Kauffman Stadium,1,2,1,0,-0.19,2.26,88.6,100.4,28,1
9,CIN,0,0,line_drive,center,Cutter,Busch Stadium III,4,1,0,1,0.29,2.79,85,104.9,3,0
7,KC,0,1,ground_ball,left,Changeup,Comerica Park,4,2,0,0,0.9,1.43,85.9,74.5,-22,0
8,CIN,0,1,fly_ball,center,Slider,Miller Park,6,0,3,2,0.07,2.2,81.4,100.8,35,1
8,SF,1,0,fly_ball,center,Cutter,Coors Field,3,0,1,0,0.42,1.33,87,97.9,42,1
8,SD,1,0,line_drive,center,Curveball,Petco Park,2,1,0,0,-0.15,2.68,76.8,106.5,25,1
9,BAL,1,0,line_drive,center,4-Seam Fastball,Oriole Park at Camden Yards,1,0,2,2,0.56,1.77,94.1,105.3,26,1
9,HOU,0,0,fly_ball,center,Slider,Globe Life Park,1,2,1,1,0.15,2.5,87.2,91.6,36,0
8,KC,1,0,ground_ball,left,Slider,Wrigley Field,7,2,0,0,0.07,2.19,76.2,39.6,-42,0
9,ATL,0,0,fly_ball,center,4-Seam Fastball,Nationals Park,6,1,0,1,-0.08,2.14,94.4,108.6,31,1
9,MIA,1,0,fly_ball,center,4-Seam Fastball,New Yankee Stadium,8,0,2,2,0.51,2.85,97.6,101.5,27,1
8,OAK,0,0,line_drive,left,4-Seam Fastball,RingCentral Coliseum,8,1,3,2,0.61,2.34,91.9,104.3,12,0
9,CWS,0,1,popup,left,Curveball,RingCentral Coliseum,2,2,2,2,-0.13,1.43,84.3,69,41,0
9,CLE,1,0,fly_ball,right,4-Seam Fastball,Progressive Field,3,1,1,1,0.54,2.66,92.4,93.7,35,1
